# Force coefficient bins
# bins        : 20
# start       : 3.000355e+00
# delta       : 4.982248e-02
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	3.050177e+00	3.100000e+00	3.149822e+00	3.199645e+00	3.249467e+00	3.299290e+00	3.349112e+00	3.398935e+00	3.448757e+00	3.498580e+00	3.548402e+00	3.598225e+00	3.648047e+00	3.697870e+00	3.747692e+00	3.797515e+00	3.847337e+00	3.897160e+00	3.946982e+00	3.996805e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# Time        	Cm(0)         	Cd(0)         	Cl(0)         	Cm(1)         	Cd(1)         	Cl(1)         	Cm(2)         	Cd(2)         	Cl(2)         	Cm(3)         	Cd(3)         	Cl(3)         	Cm(4)         	Cd(4)         	Cl(4)         	Cm(5)         	Cd(5)         	Cl(5)         	Cm(6)         	Cd(6)         	Cl(6)         	Cm(7)         	Cd(7)         	Cl(7)         	Cm(8)         	Cd(8)         	Cl(8)         	Cm(9)         	Cd(9)         	Cl(9)         	Cm(10)        	Cd(10)        	Cl(10)        	Cm(11)        	Cd(11)        	Cl(11)        	Cm(12)        	Cd(12)        	Cl(12)        	Cm(13)        	Cd(13)        	Cl(13)        	Cm(14)        	Cd(14)        	Cl(14)        	Cm(15)        	Cd(15)        	Cl(15)        	Cm(16)        	Cd(16)        	Cl(16)        	Cm(17)        	Cd(17)        	Cl(17)        	Cm(18)        	Cd(18)        	Cl(18)        	Cm(19)        	Cd(19)        	Cl(19)        
50            	-2.764892e+01	5.595241e+00	-9.126832e+00	-2.851449e+01	4.208402e+00	-9.429998e+00	-2.003365e+01	2.543367e+00	-6.751306e+00	-9.914070e+00	1.188774e+00	-3.589468e+00	4.014749e-01	-2.022541e-01	-4.145945e-01	1.164723e+01	-1.027971e+00	2.995049e+00	2.698150e+01	-1.248768e+00	7.585392e+00	4.422490e+01	-9.787105e-01	1.268984e+01	7.159297e+01	-4.371761e-01	2.069735e+01	9.906223e+01	2.908318e-01	2.862425e+01	1.240030e+02	1.096711e+00	3.572188e+01	1.418648e+02	1.853225e+00	4.073932e+01	1.614012e+02	2.658944e+00	4.615395e+01	1.845342e+02	3.224712e+00	5.246554e+01	2.101218e+02	3.627977e+00	5.934987e+01	2.371192e+02	3.947791e+00	6.651556e+01	2.621104e+02	4.308669e+00	7.305977e+01	2.914249e+02	5.185039e+00	8.063812e+01	3.197125e+02	6.570294e+00	8.785985e+01	3.411910e+02	8.289659e+00	9.327239e+01
55            	-2.633987e+01	5.640209e+00	-8.695020e+00	-2.632226e+01	4.233504e+00	-8.711996e+00	-1.711153e+01	2.565040e+00	-5.800451e+00	-6.445601e+00	1.215193e+00	-2.466870e+00	4.454437e+00	-1.689525e-01	8.891174e-01	1.637444e+01	-9.937900e-01	4.504616e+00	3.263984e+01	-1.230958e+00	9.375129e+00	5.105070e+01	-1.008737e+00	1.482591e+01	7.863450e+01	-4.993420e-01	2.289703e+01	1.029857e+02	3.321465e-01	2.992644e+01	1.223874e+02	1.344354e+00	3.544988e+01	1.366871e+02	2.206494e+00	3.946880e+01	1.553284e+02	2.982218e+00	4.463450e+01	1.786020e+02	3.454660e+00	5.098326e+01	2.026068e+02	3.778351e+00	5.744142e+01	2.276203e+02	4.025867e+00	6.407989e+01	2.525037e+02	4.403034e+00	7.059549e+01	2.822636e+02	5.329461e+00	7.829035e+01	3.101126e+02	6.723008e+00	8.539976e+01	3.298033e+02	8.289272e+00	9.036167e+01
60            	-2.511345e+01	5.681974e+00	-8.290454e+00	-2.429629e+01	4.257705e+00	-8.048308e+00	-1.444719e+01	2.586793e+00	-4.933085e+00	-3.301487e+00	1.242820e+00	-1.448670e+00	8.148987e+00	-1.321007e-01	2.077905e+00	2.080119e+01	-9.543368e-01	5.916954e+00	3.823116e+01	-1.211771e+00	1.113786e+01	5.799374e+01	-1.045387e+00	1.698984e+01	8.459038e+01	-5.226831e-01	2.477344e+01	1.042050e+02	4.818581e-01	3.043732e+01	1.190644e+02	1.648104e+00	3.466975e+01	1.297244e+02	2.610780e+00	3.766852e+01	1.476363e+02	3.340109e+00	4.263072e+01	1.711746e+02	3.704698e+00	4.905030e+01	1.936884e+02	3.939645e+00	5.510673e+01	2.174812e+02	4.144931e+00	6.142034e+01	2.429896e+02	4.579393e+00	6.810006e+01	2.719573e+02	5.486925e+00	7.559112e+01	3.001811e+02	6.960799e+00	8.279583e+01	3.226956e+02	8.801448e+00	8.847235e+01
65            	-2.390459e+01	5.700090e+00	-7.891799e+00	-2.223341e+01	4.246421e+00	-7.373012e+00	-1.165242e+01	2.561954e+00	-4.024438e+00	8.992171e-02	1.215504e+00	-3.525800e-01	1.229199e+01	-1.580757e-01	3.406760e+00	2.596483e+01	-9.846754e-01	7.557237e+00	4.498241e+01	-1.270621e+00	1.325561e+01	6.613541e+01	-1.154530e+00	1.952057e+01	9.121394e+01	-5.794125e-01	2.686116e+01	1.083565e+02	5.213173e-01	3.181174e+01	1.192126e+02	1.850239e+00	3.490830e+01	1.220457e+02	3.113624e+00	3.571487e+01	1.405681e+02	3.787990e+00	4.084219e+01	1.672327e+02	4.021908e+00	4.811219e+01	1.909962e+02	4.228988e+00	5.450405e+01	2.177645e+02	4.555223e+00	6.160722e+01	2.455962e+02	5.116370e+00	6.889709e+01	2.752306e+02	6.083944e+00	7.656106e+01	3.044512e+02	7.664918e+00	8.402129e+01	3.316157e+02	1.000434e+01	9.086850e+01
70            	-2.287999e+01	5.693803e+00	-7.553923e+00	-2.063747e+01	4.203971e+00	-6.850175e+00	-9.690710e+00	2.499456e+00	-3.385123e+00	2.270682e+00	1.142638e+00	3.554511e-01	1.466673e+01	-2.376640e-01	4.174784e+00	2.856710e+01	-1.067415e+00	8.394626e+00	4.791188e+01	-1.360068e+00	1.419148e+01	6.813515e+01	-1.216565e+00	2.018186e+01	9.047724e+01	-5.413167e-01	2.672225e+01	1.061717e+02	6.056316e-01	3.125452e+01	1.149841e+02	1.993060e+00	3.377093e+01	1.101384e+02	3.520913e+00	3.242656e+01	1.332575e+02	3.963874e+00	3.881881e+01	1.638078e+02	4.050676e+00	4.714695e+01	1.904323e+02	4.328812e+00	5.430771e+01	2.214191e+02	4.846452e+00	6.253209e+01	2.499219e+02	5.458668e+00	6.999910e+01	2.790560e+02	6.424903e+00	7.753334e+01	3.067985e+02	7.900719e+00	8.461729e+01	3.342723e+02	1.034058e+01	9.154021e+01
75            	-2.201312e+01	5.707494e+00	-7.267951e+00	-1.936326e+01	4.199676e+00	-6.432205e+00	-8.232739e+00	2.489747e+00	-2.908527e+00	3.768436e+00	1.133186e+00	8.445799e-01	1.609694e+01	-2.435793e-01	4.643077e+00	2.984184e+01	-1.067578e+00	8.815609e+00	4.889146e+01	-1.354790e+00	1.452400e+01	6.782600e+01	-1.179218e+00	2.013296e+01	8.832410e+01	-4.618003e-01	2.613395e+01	1.030116e+02	6.640195e-01	3.037532e+01	1.140364e+02	1.844493e+00	3.351739e+01	1.036836e+02	3.478433e+00	3.063820e+01	1.238863e+02	3.892450e+00	3.621952e+01	1.561571e+02	3.946057e+00	4.501489e+01	1.871553e+02	4.370807e+00	5.335311e+01	2.201045e+02	4.983742e+00	6.210000e+01	2.469079e+02	5.543088e+00	6.912220e+01	2.730473e+02	6.372546e+00	7.588219e+01	2.978342e+02	7.670971e+00	8.221047e+01	3.235269e+02	9.962895e+00	8.868142e+01
80            	-2.122066e+01	5.724697e+00	-7.006556e+00	-1.809474e+01	4.204054e+00	-6.016515e+00	-6.628149e+00	2.491928e+00	-2.385597e+00	5.593850e+00	1.139024e+00	1.436961e+00	1.813412e+01	-2.310117e-01	5.301157e+00	3.208655e+01	-1.050458e+00	9.537170e+00	5.136491e+01	-1.341090e+00	1.531460e+01	7.027971e+01	-1.174778e+00	2.091795e+01	9.052496e+01	-4.796051e-01	2.684495e+01	1.047781e+02	5.971954e-01	3.096104e+01	1.143430e+02	1.719203e+00	3.368724e+01	1.073134e+02	3.085930e+00	3.174514e+01	1.147568e+02	3.897814e+00	3.379685e+01	1.504571e+02	4.050003e+00	4.352623e+01	1.853811e+02	4.593959e+00	5.292188e+01	2.203120e+02	5.280039e+00	6.219557e+01	2.494206e+02	5.977879e+00	6.982208e+01	2.775068e+02	6.944160e+00	7.708917e+01	2.984185e+02	8.013970e+00	8.242727e+01	3.233284e+02	1.028665e+01	8.870114e+01
85            	-2.037606e+01	5.739734e+00	-6.728058e+00	-1.657470e+01	4.202274e+00	-5.519164e+00	-4.478839e+00	2.483320e+00	-1.687552e+00	8.281736e+00	1.131733e+00	2.304255e+00	2.150496e+01	-2.341940e-01	6.380026e+00	3.626624e+01	-1.055917e+00	1.086294e+01	5.657534e+01	-1.364502e+00	1.695045e+01	7.648506e+01	-1.235199e+00	2.284897e+01	9.732450e+01	-5.824382e-01	2.894972e+01	1.117019e+02	4.394844e-01	3.310192e+01	1.199096e+02	1.528106e+00	3.544392e+01	1.185036e+02	2.591860e+00	3.506821e+01	1.123988e+02	3.993792e+00	3.338316e+01	1.505779e+02	4.292003e+00	4.378755e+01	1.900022e+02	4.892531e+00	5.439372e+01	2.330759e+02	5.859555e+00	6.582851e+01	2.717088e+02	6.961983e+00	7.595252e+01	3.090569e+02	8.398579e+00	8.561927e+01	3.281701e+02	9.247554e+00	9.049962e+01	3.513399e+02	1.131912e+01	9.633507e+01
90            	-1.943168e+01	5.717988e+00	-6.416865e+00	-1.477781e+01	4.137314e+00	-4.932014e+00	-1.828067e+00	2.388451e+00	-8.283858e-01	1.170362e+01	1.019988e+00	3.405492e+00	2.593373e+01	-3.607450e-01	7.792884e+00	4.186755e+01	-1.199894e+00	1.263336e+01	6.356006e+01	-1.534099e+00	1.913669e+01	8.455142e+01	-1.429662e+00	2.535605e+01	1.063831e+02	-7.960945e-01	3.174680e+01	1.215811e+02	2.084905e-01	3.613624e+01	1.308420e+02	1.262653e+00	3.877701e+01	1.335656e+02	2.253403e+00	3.955240e+01	1.240218e+02	4.063166e+00	3.693418e+01	1.615705e+02	4.580356e+00	4.716602e+01	2.074802e+02	5.281797e+00	5.951615e+01	2.588279e+02	6.465946e+00	7.314685e+01	3.100182e+02	8.066725e+00	8.656193e+01	3.623149e+02	1.023695e+01	1.001003e+02	3.887078e+02	1.146554e+01	1.068434e+02	3.986944e+02	1.214060e+01	1.093558e+02
95            	-1.822214e+01	5.676994e+00	-6.018458e+00	-1.228533e+01	4.027814e+00	-4.118418e+00	2.059699e+00	2.226473e+00	4.296114e-01	1.691135e+01	8.247981e-01	5.077789e+00	3.290742e+01	-5.887642e-01	1.001162e+01	5.090908e+01	-1.465067e+00	1.548252e+01	7.500162e+01	-1.843974e+00	2.270698e+01	9.817193e+01	-1.779449e+00	2.957218e+01	1.225284e+02	-1.170214e+00	3.670114e+01	1.413074e+02	-2.068878e-01	4.212328e+01	1.550558e+02	8.340932e-01	4.603924e+01	1.643988e+02	1.845021e+00	4.866870e+01	1.596377e+02	3.881258e+00	4.738956e+01	1.947284e+02	4.779023e+00	5.695130e+01	2.476460e+02	5.576844e+00	7.118697e+01	3.048386e+02	6.814619e+00	8.636971e+01	3.675884e+02	8.826546e+00	1.028101e+02	4.384698e+02	1.186528e+01	1.211656e+02	4.690141e+02	1.318319e+01	1.289664e+02	4.786829e+02	1.352628e+01	1.314031e+02
